"gid","mc","bm","x","y","czfl","szs","szsq","szq","xzjb","yygs"
31730,,"31730",123.11738033235903,41.24801079508423,,,,,,
31731,本溪末站,"010102003000116",123.82306540547783,41.328355049959406,末站,辽宁省,本溪市,明山区,,
31732,本溪县末站,"010102003000117",124.12894987779578,41.29264281923986,末站,辽宁省,本溪市,本溪满族自治县,,
31733,桓仁末站,"010102003000118",125.48423576012314,41.22331392763946,末站,辽宁省,本溪市,桓仁满族自治区,,
31735,新宾末站,"010102003000120",125.00115509997292,41.721081528536416,末站,辽宁省,抚顺市,新宾满族自治县,,
31736,,"31736",124.42910617622914,41.97038219848859,,,,,,
21703,兴县压气站,"010102001000035",111.20181436769552,38.47464883779251,压气站,山西省,吕梁市,兴县,国家,中石油
31745,法库分输站,"010102005000404",123.42049782202363,42.500232781307446,分输站,辽宁省,沈阳市,法库县,,
31744,康平末站,"010102003000127",123.35282468368716,42.73914537885944,末站,辽宁省,沈阳市,康平县,,
31746,法库末站,"010102003000128",123.22875726205609,42.4247527805814,末站,辽宁省,沈阳市,法库县,,
31748,清河门末站,"010102003000130",121.38546986792801,41.75095855253547,末站,辽宁省,阜新市,清河门区,,
31734,清原末站,"010102003000119",124.90318190927397,42.093375392384445,末站,辽宁省,抚顺市,清原满族自治县,,
31737,沈北末站,"010102003000121",123.3993504265116,42.00951982731738,末站,辽宁省,沈阳市,沈北新区,,
31738,铁岭县末站,"010102003000122",123.9589994103153,42.24546087107279,末站,辽宁省,铁岭市,铁岭县,,
31740,开原末站,"010102003000124",124.16893050983317,42.49785684666827,末站,辽宁省,铁岭市,清河区,,
31742,西丰末站,"010102003000125",124.82149291810812,42.748611820215025,末站,辽宁省,铁岭市,西丰县,,
31743,图昌末站,"010102003000126",124.12139818586823,42.777593803921235,末站,辽宁省,铁岭市,图昌县,,
31749,阜新末站,"010102003000131",121.53370626644555,41.905839323182235,末站,辽宁省,阜新市,阜新蒙古族自治区,,
31750,阜新县末站,"010102003000132",121.74571654273966,41.93595545801054,末站,辽宁省,阜新市,阜新蒙古族自治区,,
31739,铁岭开发区末站,"010102003000123",123.94218854739574,42.20890443133807,末站,辽宁省,铁岭市,银州区,,
31747,彰武末站,"010102003000129",122.51899493978023,42.405124974041094,末站,辽宁省,阜新市,彰武县,,
31752,义县末站,"010102003000133",121.28959958839341,41.525776440395084,末站,辽宁省,锦州市,义县,,
31751,凌海末站,"010102003000134",121.31296293367525,41.22047265681215,末站,辽宁省,锦州市,凌海市,,
31757,桦甸站,"010102005000407",126.89119159403774,43.00899874099394,分输站,吉林省,吉林市,桦甸市,,
31758,哈尔滨首站,"010102004000018",126.81128723733782,45.53679416069045,首站,吉林省,哈尔滨市,阿城区,,
31753,北镇末站,"010102003000135",121.77700731289298,41.580639165238814,末站,辽宁省,锦州市,北镇市,,
31754,黑山末站,"010102003000136",122.09845472111414,41.65110852403085,末站,辽宁省,锦州市,黑山县,,
31755,延吉站,"010102005000405",129.4634972285629,42.97303142436698,分输站,吉林省,延边朝鲜族自治区,延吉市,,
31756,珲春站,"010102005000406",130.34859164103162,42.88527291837528,分输站,吉林省,延边朝鲜族自治区,珲春市,,
34380,信阳站,"010102003000203",113.43113401002896,32.34504090238992,末站,河南省,南阳市,桐柏县,,
34381,罗山站,"010102003000204",114.45846242111894,32.194319456722674,末站,河南省,信阳市,罗山县,,
34382,新野站,"010102003000205",112.45968098118942,32.507415574531485,末站,河南省,南阳市,新野县,,
34383,许昌站,"010102003000206",113.7626078322415,34.05144172451194,末站,河南省,许昌市,建安区,,
34384,开封站,"010102003000207",114.31495916408674,34.73476502428432,末站,河南省,开封市,鼓楼区,,
34396,耒阳分输站,"010102005000441",112.90795795357218,26.447829913603286,分输站,湖南省,衡阳市,耒阳市,,
21745,"41#","010102007000155",115.93887346796822,39.58588352796558,阀室,北京市,北京市,房山区,国家,中石油
35209,攀枝花末站,"010102006000089",101.69054870922939,26.54725340293321,末站,四川省,攀枝花市,仁和区,,
34399,桂阳末站,"010102006000041",112.80012043370523,25.74942885874185,末站,湖南省,郴州市,桂阳县,,
21568,献县分输站,"010102005000195",116.10698049995918,38.24467345974472,分输站,河北省,沧州市,献县,国家,中石化
31767,泗洪站,"010102003000142",118.18305162778331,33.40595790014994,末站,江苏省,宿迁市,泗洪县,,
21824,"35#","010102007000263",116.12445353712582,38.75265116412674,阀室,河北省,沧州市,任丘市,国家,中石油
31762,阿拉斯站,"010102004000020",123.79891606217019,46.81443145669786,首站,吉林省,齐齐哈尔,泰来县,,
31768,沐阳站,"010102003000143",118.77817422157085,34.19317332430499,末站,江苏省,宿迁市,沐阳县,,
31759,双城站,"010102003000137",126.06848328530074,45.30461807814675,末站,吉林省,哈尔滨市,双城区,,
34776,灵山分输站,"010102005000466",109.26203691847056,22.422063641933015,分输站,广西壮族自治区,钦州市,灵山县,,
31763,齐齐哈尔站,"010102003000139",123.88939999475215,47.309069241839325,末站,吉林省,齐齐哈尔,龙沙区,,
31764,丰县站,"010102003000140",116.51918326852204,34.727248973356865,末站,江苏省,徐州市,丰县,,
31765,沛县站,"010102005000408",117.00081779377844,34.717123270550886,分输站,江苏省,徐州市,沛县,,
31760,朝阳沟站,"010102004000019",126.0453383554988,45.61058493146282,首站,吉林省,哈尔滨市,双城区,,
31761,哈尔滨站,"010102003000138",126.48073802050452,45.744678025041175,末站,吉林省,哈尔滨市,道里区,,
34398,资兴末站,"010102006000040",113.20295078246488,25.970615664954956,末站,湖南省,郴州市,资兴市,,
31766,睢宁站,"010102003000141",117.99147577571978,33.796852540785494,末站,江苏省,徐州市,睢宁县,,
31769,涟水站,"010102003000144",119.35106851659084,33.84773076221952,末站,江苏省,淮安市,涟水县,,
35195,桂平末站,"010102006000080",110.10410077118866,23.39311709345194,末站,广西壮族自治区,贵港市,桂平市,,
21328,宿迁分输清管站,"010102005000093",118.92676925180429,33.923511178645064,分输站,江苏省,淮安市,淮阴区,国家,中石化
31770,淮安储气库,"010101001000031",119.02708533500251,33.74418529534931,储气库,江苏省,淮安市,淮阴区,,
31771,淮阴电厂站,"010102003000145",119.02654562268823,33.6165771534335,末站,江苏省,淮安市,淮阴区,,
34401,新化站,"010102005000443",111.33163004145601,27.738109750693177,分输站,湖南省,娄底市,新化县,,
34405,常宁末站,"010102006000044",112.54708378846662,26.38680348743662,末站,湖南省,衡阳市,常宁市,,
32174,大丰站,"010102003000208",120.40850102064891,33.177392225472474,末站,江苏省,盐城市,大丰市,,
32170,楚阳末站,"010102003000146",119.0922497230922,33.5605925204588,末站,江苏省,淮安市,淮安区,,
32175,射阳站,"010102003000150",120.23850469596988,33.71605033319102,末站,江苏省,盐城市,射阳县,,
32171,灌南末站,"010102003000147",119.44594897844648,34.17480798839451,末站,江苏省,连云港市,灌南区,,
32172,刘庄储气库,"010101001000032",119.33897842625348,33.13459545289813,储气库,江苏省,扬州市,宝应县,,
32177,,"32177",119.88469302454261,33.28510384994604,,,,,,
27606,连云港石化,"010101003000212",119.61351140539867,34.5140241317551,液厂,江苏省,连云港市,连云区,,
32173,盐城站,"010102003000148",120.04139239296131,33.323917533483105,分输站,江苏省,盐城市,盐都区,,
32176,建湖站,"010102003000151",119.84879325648292,33.425521216019256,末站,江苏省,盐城市,建湖县,,
34400,冷水江站,"010102005000442",111.48526492136897,27.617081525664215,分输站,湖南省,娄底市,冷水江市,"",
32570,天长站,"010102003000152",119.00068636588166,32.723816653689326,末站,安徽省,滁州市,天长市,,
32571,高淳站,"010102003000153",118.88629083272521,31.364607583373427,末站,江苏省,南京市,高淳县,,
32572,如皋站,"010102003000154",120.53604307639159,32.35444709799924,末站,江苏省,南通市,如皋市,,
32579,太和县分输站,"010102005000412",115.46326460627911,33.2340895570628,分输站,安徽省,阜阳市,太和县,,""
